iter	Passed	Remaining
0	203	203545
1	252	125889
2	298	99315
3	343	85648
4	388	77316
5	443	73429
6	511	72496
7	553	68638
8	600	66108
9	643	63709
10	693	62358
11	751	61864
12	818	62166
13	865	60969
14	913	60012
15	964	59340
16	1017	58855
17	1075	58682
18	1165	60179
19	1223	59935
20	1270	59220
21	1312	58346
22	1359	57752
23	1419	57706
24	1522	59395
25	1566	58698
26	1610	58034
27	1660	57633
28	1711	57292
29	1774	57364
30	1859	58128
31	1915	57955
32	1964	57556
33	2010	57131
34	2057	56740
35	2122	56833
36	2205	57411
37	2259	57210
38	2323	57259
39	2379	57114
40	2425	56739
41	2486	56714
42	2550	56769
43	2598	56459
44	2640	56036
45	2686	55711
46	2730	55366
47	2789	55332
48	2864	55588
49	2913	55348
50	2961	55111
51	3006	54803
52	3049	54495
53	3100	54315
54	3173	54531
55	3219	54275
56	3269	54082
57	3312	53806
58	3358	53573
59	3419	53578
60	3487	53678
61	3533	53455
62	3577	53208
63	3622	52973
64	3670	52796
65	3749	53067
66	3870	53901
67	3922	53761
68	3974	53628
69	4024	53464
70	4076	53332
71	4121	53122
72	4250	53981
73	4296	53766
74	4339	53514
75	4384	53301
76	4428	53084
77	4473	52876
78	4559	53153
79	4603	52937
80	4666	52946
81	4726	52917
82	4784	52860
83	4852	52917
84	4927	53043
85	5013	53278
86	5068	53194
87	5126	53124
88	5188	53108
89	5271	53300
90	5395	53893
91	5459	53879
92	5526	53898
93	5591	53895
94	5654	53870
95	5724	53901
96	5800	53995
97	5854	53885
98	5899	53691
99	5950	53550
100	6000	53408
101	6060	53359
102	6139	53462
103	6187	53305
104	6251	53288
105	6308	53206
106	6359	53074
107	6408	52931
108	6499	53125
109	6545	52959
110	6592	52797
111	6637	52629
112	6687	52491
113	6754	52499
114	6839	52635
115	6892	52523
116	6948	52439
117	7009	52394
118	7070	52346
119	7132	52304
120	7241	52608
121	7297	52516
122	7353	52431
123	7406	52322
124	7461	52227
125	7520	52163
126	7604	52271
127	7654	52146
128	7705	52029
129	7759	51927
130	7810	51814
131	7926	52120
132	8019	52278
133	8072	52168
134	8124	52054
135	8178	51956
136	8235	51878
137	8290	51786
138	8384	51935
139	8432	51799
140	8479	51657
141	8522	51497
142	8568	51348
143	8614	51208
144	8689	51240
145	8736	51100
146	8786	50985
147	8832	50847
148	8889	50771
149	8955	50745
150	9045	50860
151	9096	50751
152	9143	50619
153	9189	50481
154	9238	50363
155	9312	50385
156	9411	50533
157	9468	50457
158	9518	50347
159	9570	50242
160	9618	50122
161	9698	50167
162	9780	50220
163	9835	50134
164	9888	50041
165	9937	49928
166	10001	49887
167	10051	49777
168	10151	49914
169	10201	49808
170	10250	49695
171	10302	49594
172	10350	49477
173	10399	49365
174	10518	49585
175	10565	49464
176	10611	49341
177	10652	49192
178	10696	49059
179	10764	49039
180	10845	49072
181	10893	48958
182	10939	48837
183	10985	48716
184	11039	48634
185	11109	48617
186	11215	48760
187	11272	48686
188	11316	48560
189	11362	48439
190	11408	48320
191	11480	48315
192	11562	48345
193	11620	48280
194	11667	48166
195	11716	48060
196	11766	47960
197	11842	47970
198	11942	48070
199	12009	48036
200	12069	47975
201	12130	47922
202	12194	47876
203	12267	47866
204	12363	47946
205	12429	47909
206	12495	47871
207	12554	47803
208	12611	47729
209	12678	47695
210	12794	47841
211	12856	47786
212	12915	47720
213	12978	47669
214	13037	47603
215	13124	47637
216	13228	47733
217	13292	47681
218	13355	47629
219	13418	47574
220	13476	47504
221	13543	47462
222	13653	47573
223	13714	47511
224	13773	47442
225	13832	47374
226	13893	47312
227	13958	47261
228	14047	47294
229	14110	47238
230	14181	47209
231	14240	47141
232	14307	47096
233	14387	47096
234	14479	47134
235	14536	47058
236	14597	46994
237	14662	46943
238	14723	46880
239	14781	46807
240	14866	46821
241	14923	46743
242	14981	46669
243	15041	46603
244	15115	46579
245	15187	46550
246	15285	46599
247	15343	46524
248	15404	46460
249	15462	46387
250	15518	46307
251	15592	46283
252	15704	46368
253	15764	46300
254	15820	46220
255	15881	46156
256	15938	46079
257	16014	46057
258	16119	46117
259	16197	46100
260	16276	46086
261	16346	46044
262	16426	46030
263	16504	46012
264	16605	46058
265	16665	45987
266	16726	45919
267	16787	45853
268	16855	45804
269	16924	45759
270	17041	45842
271	17130	45849
272	17210	45831
273	17275	45774
274	17337	45708
275	17400	45645
276	17500	45679
277	17560	45606
278	17624	45545
279	17691	45491
280	17755	45430
281	17819	45369
282	17922	45408
283	17978	45327
284	18035	45245
285	18104	45198
286	18162	45122
287	18240	45093
288	18373	45203
289	18444	45158
290	18512	45104
291	18576	45041
292	18643	44985
293	18728	44975
294	18841	45026
295	18915	44988
296	18989	44948
297	19054	44885
298	19130	44852
299	19204	44811
300	19301	44823
301	19361	44749
302	19429	44694
303	19489	44621
304	19549	44546
305	19639	44541
306	19776	44641
307	19856	44611
308	19938	44587
309	20006	44530
310	20087	44502
311	20179	44498
312	20299	44556
313	20381	44526
314	20454	44480
315	20528	44436
316	20596	44377
317	20665	44320
318	20766	44333
319	20807	44216
320	20865	44136
321	20919	44048
322	20981	43977
323	21044	43907
324	21112	43849
325	21208	43849
326	21272	43780
327	21331	43703
328	21387	43619
329	21442	43535
330	21514	43484
331	21595	43450
332	21646	43357
333	21704	43278
334	21761	43198
335	21816	43113
336	21872	43031
337	21964	43019
338	22020	42936
339	22076	42854
340	22138	42784
341	22193	42698
342	22256	42630
343	22370	42660
344	22446	42615
345	22509	42546
346	22575	42482
347	22633	42405
348	22693	42330
349	22796	42335
350	22849	42248
351	22902	42160
352	22958	42079
353	23012	41995
354	23086	41945
355	23214	41994
356	23293	41954
357	23365	41901
358	23428	41832
359	23494	41767
360	23564	41711
361	23662	41703
362	23727	41636
363	23782	41554
364	23843	41481
365	23905	41409
366	23983	41367
367	24083	41360
368	24146	41291
369	24214	41230
370	24275	41157
371	24330	41074
372	24402	41020
373	24524	41049
374	24578	40964
375	24647	40904
376	24716	40844
377	24784	40783
378	24847	40713
379	24957	40720
380	25023	40654
381	25090	40591
382	25158	40528
383	25221	40459
384	25284	40389
385	25374	40363
386	25456	40322
387	25529	40267
388	25604	40217
389	25676	40159
390	25752	40110
391	25838	40076
392	25947	40076
393	26032	40040
394	26133	40026
395	26198	39959
396	26261	39888
397	26326	39819
398	26439	39824
399	26505	39758
400	26566	39684
401	26625	39606
402	26681	39526
403	26767	39488
404	26854	39452
405	26904	39362
406	26966	39289
407	27017	39202
408	27083	39135
409	27155	39077
410	27290	39110
411	27371	39064
412	27451	39017
413	27525	38960
414	27630	38948
415	27719	38914
416	27813	38885
417	27874	38811
418	27934	38734
419	27994	38659
420	28051	38579
421	28127	38525
422	28225	38501
423	28273	38409
424	28323	38319
425	28373	38231
426	28422	38140
427	28471	38050
428	28578	38037
429	28624	37943
430	28674	37855
431	28720	37761
432	28769	37672
433	28826	37594
434	28909	37549
435	28989	37500
436	29039	37412
437	29090	37326
438	29147	37247
439	29211	37178
440	29313	37157
441	29361	37067
442	29411	36979
443	29454	36884
444	29499	36791
445	29553	36709
446	29633	36660
447	29682	36573
448	29732	36486
449	29781	36399
450	29828	36310
451	29877	36222
452	29974	36194
453	30023	36107
454	30073	36021
455	30129	35944
456	30185	35866
457	30231	35776
458	30323	35740
459	30370	35652
460	30419	35566
461	30471	35484
462	30534	35414
463	30618	35370
464	30724	35349
465	30779	35270
466	30836	35194
467	30908	35134
468	30965	35058
469	31023	34984
470	31141	34975
471	31198	34899
472	31247	34814
473	31306	34740
474	31361	34663
475	31415	34583
476	31503	34541
477	31564	34469
478	31622	34394
479	31674	34313
480	31724	34230
481	31777	34150
482	31853	34095
483	31908	34018
484	31965	33942
485	32037	33883
486	32101	33815
487	32225	33810
488	32319	33773
489	32367	33688
490	32412	33601
491	32459	33514
492	32506	33429
493	32594	33386
494	32731	33393
495	32817	33346
496	32904	33301
497	32981	33246
498	33071	33203
499	33174	33174
500	33328	33195
501	33407	33141
502	33491	33091
503	33580	33047
504	33664	32997
505	33746	32946
506	33865	32930
507	33956	32886
508	34034	32831
509	34122	32784
510	34190	32718
511	34272	32665
512	34390	32647
513	34465	32588
514	34536	32524
515	34620	32473
516	34705	32422
517	34806	32387
518	34939	32381
519	35030	32336
520	35115	32284
521	35192	32226
522	35264	32162
523	35342	32105
524	35498	32117
525	35588	32070
526	35671	32016
527	35755	31963
528	35841	31911
529	35943	31873
530	36087	31873
531	36161	31811
532	36234	31747
533	36314	31689
534	36386	31625
535	36483	31583
536	36619	31573
537	36705	31520
538	36787	31464
539	36876	31413
540	36946	31346
541	37015	31278
542	37145	31262
543	37205	31187
544	37280	31124
545	37363	31067
546	37450	31014
547	37554	30975
548	37706	30975
549	37790	30919
550	37879	30867
551	37965	30812
552	38055	30760
553	38144	30708
554	38287	30699
555	38370	30641
556	38455	30585
557	38542	30530
558	38626	30472
559	38729	30430
560	38879	30424
561	38969	30371
562	39057	30316
563	39143	30259
564	39225	30200
565	39298	30133
566	39454	30129
567	39535	30069
568	39593	29991
569	39668	29925
570	39737	29855
571	39821	29796
572	39929	29755
573	40009	29693
574	40095	29635
575	40198	29590
576	40268	29521
577	40348	29458
578	40498	29446
579	40585	29389
580	40673	29332
581	40766	29279
582	40854	29221
583	40943	29165
584	41089	29148
585	41159	29078
586	41237	29013
587	41307	28943
588	41386	28879
589	41476	28822
590	41606	28793
591	41690	28732
592	41772	28670
593	41858	28610
594	41940	28548
595	42021	28484
596	42174	28469
597	42257	28407
598	42330	28338
599	42415	28276
600	42493	28211
601	42595	28161
602	42726	28129
603	42807	28065
604	42892	28004
605	42980	27944
606	43061	27880
607	43156	27824
608	43296	27797
609	43379	27734
610	43464	27671
611	43549	27609
612	43617	27536
613	43697	27470
614	43818	27431
615	43901	27367
616	43987	27305
617	44078	27245
618	44160	27181
619	44229	27108
620	44328	27053
621	44392	26977
622	44464	26906
623	44543	26840
624	44622	26773
625	44705	26709
626	44810	26657
627	44887	26589
628	44965	26521
629	45042	26453
630	45126	26389
631	45222	26332
632	45338	26286
633	45420	26220
634	45503	26155
635	45586	26090
636	45669	26024
637	45752	25959
638	45845	25900
639	45979	25863
640	46074	25804
641	46161	25741
642	46232	25668
643	46298	25593
644	46381	25527
645	46526	25495
646	46615	25433
647	46697	25366
648	46778	25299
649	46830	25216
650	46915	25151
651	47050	25112
652	47134	25047
653	47218	24981
654	47278	24902
655	47342	24825
656	47422	24757
657	47554	24716
658	47638	24650
659	47711	24578
660	47785	24507
661	47873	24442
662	47973	24384
663	48111	24345
664	48201	24281
665	48280	24212
666	48343	24135
667	48417	24063
668	48493	23993
669	48611	23942
670	48691	23874
671	48766	23802
672	48832	23727
673	48901	23652
674	48975	23580
675	49114	23540
676	49192	23470
677	49268	23399
678	49346	23328
679	49427	23260
680	49518	23195
681	49660	23155
682	49847	23135
683	49912	23059
684	49996	22990
685	50067	22917
686	50142	22845
687	50270	22797
688	50328	22717
689	50394	22640
690	50461	22565
691	50513	22483
692	50579	22406
693	50684	22348
694	50732	22263
695	50781	22180
696	50826	22095
697	50879	22013
698	50959	21944
699	51032	21870
700	51077	21786
701	51120	21700
702	51178	21621
703	51249	21548
704	51359	21490
705	51447	21424
706	51502	21344
707	51553	21262
708	51610	21182
709	51661	21101
710	51723	21024
711	51817	20959
712	51862	20875
713	51913	20794
714	51963	20712
715	52015	20631
716	52099	20563
717	52182	20495
718	52234	20414
719	52284	20332
720	52329	20249
721	52374	20166
722	52426	20085
723	52525	20023
724	52572	19941
725	52615	19857
726	52663	19775
727	52722	19698
728	52800	19628
729	52879	19558
730	52927	19476
731	52977	19396
732	53022	19313
733	53079	19236
734	53140	19159
735	53265	19106
736	53311	19024
737	53360	18943
738	53421	18867
739	53481	18790
740	53545	18715
741	53626	18646
742	53673	18565
743	53718	18483
744	53762	18402
745	53807	18320
746	53854	18240
747	53961	18179
748	54006	18098
749	54059	18019
750	54120	17944
751	54178	17867
752	54262	17799
753	54350	17732
754	54409	17656
755	54456	17575
756	54503	17495
757	54553	17416
758	54619	17342
759	54716	17278
760	54760	17197
761	54809	17119
762	54864	17041
763	54915	16963
764	54975	16887
765	55053	16817
766	55103	16739
767	55154	16661
768	55202	16582
769	55258	16505
770	55312	16428
771	55400	16361
772	55454	16284
773	55512	16208
774	55575	16134
775	55640	16061
776	55744	15998
777	55836	15932
778	55901	15859
779	55970	15786
780	56026	15710
781	56084	15634
782	56146	15560
783	56263	15501
784	56353	15434
785	56440	15366
786	56535	15301
787	56627	15234
788	56769	15181
789	56935	15134
790	57028	15068
791	57128	15003
792	57214	14934
793	57301	14866
794	57385	14797
795	57535	14745
796	57616	14675
797	57696	14604
798	57791	14538
799	57929	14482
800	58010	14412
801	58130	14351
802	58211	14280
803	58313	14215
804	58427	14153
805	58519	14085
806	58608	14016
807	58724	13954
808	58792	13880
809	58863	13807
810	58941	13735
811	59010	13662
812	59093	13592
813	59199	13527
814	59276	13455
815	59355	13384
816	59433	13312
817	59499	13238
818	59576	13166
819	59692	13103
820	59762	13029
821	59837	12957
822	59911	12884
823	59994	12814
824	60073	12742
825	60174	12675
826	60243	12602
827	60326	12531
828	60410	12461
829	60494	12390
830	60607	12325
831	60753	12267
832	60835	12196
833	60915	12124
834	61104	12074
835	61187	12003
836	61302	11938
837	61447	11878
838	61534	11808
839	61617	11736
840	61710	11666
841	61795	11595
842	61899	11528
843	62033	11465
844	62106	11392
845	62172	11317
846	62237	11242
847	62312	11169
848	62384	11095
849	62484	11026
850	62543	10950
851	62600	10874
852	62777	10818
853	62947	10761
854	63090	10699
855	63237	10638
856	63333	10567
857	63422	10496
858	63491	10421
859	63557	10346
860	63626	10271
861	63759	10207
862	63828	10132
863	63897	10057
864	63960	9982
865	64025	9906
866	64088	9831
867	64207	9764
868	64267	9688
869	64324	9611
870	64381	9535
871	64444	9459
872	64650	9405
873	64818	9344
874	64951	9278
875	65037	9206
876	65164	9139
877	65280	9070
878	65380	9000
879	65522	8934
880	65600	8860
881	65674	8786
882	65733	8709
883	65795	8633
884	65861	8558
885	65973	8488
886	66028	8411
887	66085	8335
888	66141	8258
889	66195	8181
890	66266	8106
891	66394	8038
892	66447	7961
893	66504	7885
894	66565	7809
895	66619	7732
896	66678	7656
897	66791	7586
898	66849	7510
899	67073	7452
900	67200	7383
901	67295	7311
902	67389	7238
903	67504	7168
904	67582	7094
905	67665	7020
906	67750	6946
907	67837	6873
908	67934	6800
909	68032	6728
910	68093	6652
911	68151	6576
912	68202	6499
913	68251	6421
914	68303	6345
915	68396	6272
916	68445	6195
917	68497	6118
918	68549	6041
919	68610	5966
920	68665	5889
921	68748	5816
922	68798	5739
923	68851	5663
924	68903	5586
925	68954	5510
926	69029	5435
927	69114	5362
928	69180	5287
929	69240	5211
930	69305	5136
931	69382	5062
932	69465	4988
933	69562	4915
934	69616	4839
935	69673	4763
936	69724	4688
937	69776	4612
938	69854	4537
939	69943	4464
940	69989	4388
941	70039	4312
942	70091	4236
943	70146	4161
944	70208	4086
945	70298	4012
946	70369	3938
947	70625	3873
948	70714	3800
949	70814	3727
950	70908	3653
951	71032	3581
952	71105	3506
953	71187	3432
954	71260	3357
955	71340	3283
956	71413	3208
957	71507	3134
958	71574	3060
959	71657	2985
960	71721	2910
961	71791	2835
962	71850	2760
963	71948	2686
964	72006	2611
965	72067	2536
966	72123	2461
967	72189	2386
968	72276	2312
969	72399	2239
970	72501	2165
971	72587	2090
972	72679	2016
973	72775	1942
974	72894	1869
975	73046	1796
976	73140	1721
977	73244	1647
978	73329	1572
979	73443	1498
980	73530	1424
981	73652	1350
982	73732	1275
983	73801	1200
984	73883	1125
985	73960	1050
986	74027	975
987	74138	900
988	74231	825
989	74302	750
990	74381	675
991	74465	600
992	74558	525
993	74664	450
994	74740	375
995	74815	300
996	74895	225
997	74976	150
998	75061	75
999	75171	0
